date,ts,team_a,team_b,score_a,score_b,winner,event
2026-05-12,1778584800,PARIVISION,G2 Esports,1,2,G2 Esports,PGL/2026/Astana
2026-05-12,1778585100,FURIA,Gentle Mates,2,1,FURIA,PGL/2026/Astana
2026-05-13,1778648400,Gentle Mates,Magic,0,2,Magic,PGL/2026/Astana
2026-05-13,1778657400,Monte,G2 Esports,0,2,G2 Esports,PGL/2026/Astana
2026-05-13,1778666400,The MongolZ,Aurora Gaming,0,2,Aurora Gaming,PGL/2026/Astana
2026-06-02,1780396200,M80,Lynn Vision Gaming,13,8,M80,Intel Extreme Masters/2026/Cologne
2026-06-02,1780396200,SINNERS Esports,FlyQuest,14,16,FlyQuest,Intel Extreme Masters/2026/Cologne
2026-06-02,1780400700,MIBR,THUNDERdOWNUNDER,6,13,THUNDERdOWNUNDER,Intel Extreme Masters/2026/Cologne
2026-06-02,1780401600,B8,TYLOO,13,6,B8,Intel Extreme Masters/2026/Cologne
2026-06-02,1780404600,HEROIC,Sharks Esports,10,13,Sharks Esports,Intel Extreme Masters/2026/Cologne
2026-06-02,1780405500,GamerLegion,NRG,13,10,GamerLegion,Intel Extreme Masters/2026/Cologne
2026-06-02,1780408800,BetBoom Team,Gaimin Gladiators,13,4,BetBoom Team,Intel Extreme Masters/2026/Cologne
2026-06-02,1780410300,BIG,Team Liquid,10,13,Team Liquid,Intel Extreme Masters/2026/Cologne
2026-06-02,1780414200,HEROIC,Lynn Vision Gaming,11,13,Lynn Vision Gaming,Intel Extreme Masters/2026/Cologne
2026-06-02,1780414500,B8,THUNDERdOWNUNDER,13,11,B8,Intel Extreme Masters/2026/Cologne
2026-06-02,1780418700,MIBR,TYLOO,16,14,MIBR,Intel Extreme Masters/2026/Cologne
2026-06-02,1780418700,SINNERS Esports,NRG,6,13,NRG,Intel Extreme Masters/2026/Cologne
2026-06-02,1780422300,M80,Sharks Esports,13,6,M80,Intel Extreme Masters/2026/Cologne
2026-06-02,1780423800,GamerLegion,FlyQuest,13,11,GamerLegion,Intel Extreme Masters/2026/Cologne
2026-06-02,1780426200,BIG,Gaimin Gladiators,13,1,BIG,Intel Extreme Masters/2026/Cologne
2026-06-02,1780428600,BetBoom Team,Team Liquid,13,9,BetBoom Team,Intel Extreme Masters/2026/Cologne
2026-06-03,1780489800,NRG,FlyQuest,13,10,NRG,Intel Extreme Masters/2026/Cologne
2026-06-03,1780489800,Sharks Esports,Lynn Vision Gaming,5,13,Lynn Vision Gaming,Intel Extreme Masters/2026/Cologne
